F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Class
0,0,16,2.02,0.52,-2.35,-1.98,-0.7,85,6,-2.07,-0.07,1.08,15,-0.63,-3.49,-1.68,0.02,15.3,NaN,True
0,0,86,-0.9,2.75,0.14,0.83,-0.06,107,1,-0.86,0.17,1.06,-8,-1.21,0.34,0.36,0.61,10.1,NaN,True
1,1,165,0.73,1.05,0.1,2.57,-1.65,41,5,0.08,0.04,0.42,-6,-0.46,-0.62,1.67,2.6,11,1.55,False
1,1,191,-1.5,0.79,0.33,1.24,1.35,17,2,-0.85,1.74,1.74,15,0.47,0.63,0.08,0.19,6.3,0.95,False
1,1,13,0.25,-1.19,-0.9,2.67,0.22,12,8,0.68,-0.39,1.25,25,-0.09,-2.41,-0.53,-0.77,10.5,NaN,True
0,1,113,-1.73,3.3,1.02,0.68,-0.75,79,17,0.6,-0.93,0.6,-13,-1.06,3.49,1.09,-0.14,16.9,-0.77,True
0,0,85,2.78,0.48,-0.52,1.54,-0.48,81,4,0.44,0.26,0.61,-14,1.1,3,0.04,0.74,10.8,-3.83,False
0,1,38,1.37,-0.24,-1.65,-1.48,-0.14,65,-26,-1.96,0.35,2.27,-10,0.69,-0.43,-0.9,-0.86,7.9,-0.17,True
0,0,23,-1.44,-0.57,0.48,-0.27,-0.95,39,-5,-0.71,0.63,0.85,15,-2.19,1.86,1.17,-0.36,4.6,-0.51,True
1,1,7,-0.1,0.26,-0.45,0.22,-0.56,45,-6,-0.71,-0.23,2.36,18,-1.68,-1.58,-1.3,-0.1,1.6,-0.73,True
0,1,21,1.22,-0.44,-1.28,0.15,0.03,38,18,-0.61,-1.03,0.83,0,-0.58,3.05,-0.87,1.41,4.3,-1.01,True
1,0,65,-1.35,0.86,1.64,1.4,-1.37,44,-10,-0.05,-0.7,0.26,-4,-0.54,2.11,0.82,1.08,9.1,0.07,False
1,1,95,1.77,-0.16,1.15,0.56,-0.31,18,25,-0.24,-1.7,1.27,19,-0.07,0.05,0.39,1.11,5.9,-1.75,True
1,0,242,-0.5,0.2,-1.35,0.89,-0.58,19,11,-0.94,0.68,0.07,31,-0.29,-0.73,0.03,0.73,4.2,-1.07,True
1,1,7,0.32,0.42,0.55,2.02,-1.1,3,-9,1.14,-1.82,1.88,11,0.2,2.64,0.73,-1.36,6.9,0.41,True
1,0,224,-0.77,0.88,-0.13,3.12,-0.39,41,-8,0.84,0.56,0.19,9,-0.3,2.59,0.42,-0.93,11.3,NaN,False
0,1,72,1.34,-0.08,0.16,0.05,-0.69,36,10,-0.98,0.39,1.76,-9,0.53,-0.79,0.77,0.38,3.3,1.23,True
0,1,200,0.46,0.53,-1.33,1.44,-0.52,104,-5,0.57,0.35,2.01,2,0.92,0.73,-1.06,-0.12,4.6,-4.39,False
0,0,62,0.49,0.53,1.49,1.29,0.47,30,22,0.01,-2.19,0.3,-5,-0.72,-0.02,0.04,-0.53,4.6,-0.45,False
0,1,23,-2.03,0.33,0.17,2.28,0.04,46,13,0.08,0.18,0.47,16,-0.76,-1,0.89,-0.56,9.5,0.71,False
1,0,150,-0.5,0.55,-1.23,1.84,-0.76,26,-4,-0.17,1.78,1.46,-8,-0.03,1.21,0.56,-0.26,6,1.75,False
1,1,89,1.56,0.18,1.15,0.04,-1.9,11,2,-1.35,0.38,0.55,10,0.88,-0.43,-0.73,-0.73,8.4,-0.03,True
0,0,5,1.5,-0.63,1.56,2.03,0.73,70,-19,1.17,0.62,0.91,12,-1.16,2.39,0.08,0.86,10.7,-2.83,True
1,0,64,-1.19,-1.22,0.13,2.59,-0.15,37,29,0.41,0.31,0.67,-11,-1.04,1.43,-0.57,1.41,10.7,3.45,True
0,0,149,-1.47,-0.17,-0.4,2.14,-0.72,28,20,0.16,-1.72,0.84,16,-0.34,0.18,1.22,0.53,7.4,NaN,False
1,1,86,-0.19,-1.14,-0.38,-0.44,-0.2,27,2,-1.27,-0.76,0.1,-13,-1.23,-1.83,-1.07,0.76,1.7,0.85,False
1,0,118,-3.99,-1.14,-0.5,-1.03,1.12,52,14,-2.23,0.04,1.14,26,1.55,-2.46,0.31,1.17,20.8,-0.99,True
1,0,281,-1.9,-0.67,-0.77,2.41,0.83,17,-11,0.59,-0.49,1.91,-9,0.91,-0.03,0.19,-0.02,11.1,1.75,False
1,0,63,-4.3,1.05,-0.93,-0.58,0.14,18,8,-0.75,1.14,1.78,-12,0.4,-1.71,-0.8,-0.31,20.8,NaN,False
0,1,140,1.14,-0.25,2.56,0.06,-0.1,18,27,-1.1,1.57,0.07,6,0.37,1.19,2.62,-0.8,7.9,NaN,False
1,1,96,0.38,-0.83,0.49,2.06,-0.67,22,1,1.09,-0.27,0.07,13,-1.35,-0.06,-0.58,-0.66,6.8,0.01,True
0,1,153,-1.26,-0.85,0.45,-0.82,0.58,0,28,-1.54,1,1.17,-6,0.39,-1.07,0.15,-1.11,3.5,NaN,False
1,1,80,-0.5,0.6,0.76,0.01,-1.57,2,7,-0.13,-1.13,1.77,-5,0.49,0.42,-0.21,-1.4,3.7,0.55,False
1,1,100,0.82,-0.46,2.39,0.16,0.25,6,19,0.03,0.95,0.71,43,0.91,2.57,0.51,0.23,6.7,-4.31,False
0,1,79,2.34,1.71,0.63,1.72,0.24,25,34,0.99,-0.59,0.03,-4,-0.13,0.24,0.8,1.71,11.8,NaN,False
1,0,79,-0.45,-0.81,0.86,1.73,0.71,2,30,1.66,0.74,1.01,-5,-1.02,1.06,0.51,0.34,5.1,-0.07,False
1,1,34,-2.71,-1.12,-2.1,1.58,-0.76,47,17,0.19,0.38,1.11,-14,0.64,-1.42,-0.26,-0.78,16.1,NaN,False
1,1,56,-0.99,-0.7,-1.46,-0.87,-0.32,35,13,-0.93,-0.35,0.27,-8,-0.56,-0.14,0.03,-0.54,4.5,NaN,False
1,0,17,-0.83,0.26,0.94,-0.39,0.24,76,-16,-0.72,0.02,2.77,-14,-0.85,0.45,0.39,0.18,2.8,-0.33,True
1,1,43,-0.37,-1.82,0.98,0.23,-0.8,53,18,-1.25,-0.3,1.33,-4,-1.04,1.3,-0.42,1.88,5.1,NaN,False
1,1,174,-1.13,-1.79,1.06,3.93,0.75,49,5,0.92,-0.11,0.05,5,0.05,-0.83,0.38,-0.37,22.6,4.43,True
1,0,179,-0.29,0.04,-0.14,2.71,0.55,62,11,1.43,-2.08,0.13,-2,-0.67,1.31,-0.54,0.43,8.8,0.13,True
1,0,36,1.61,-0.61,-1.28,1.96,0.99,65,14,0.79,-1.3,0.19,-7,3.26,1.06,-0.37,-0.31,9.4,-2.57,False
1,1,26,-0.19,-0.97,0.08,0.54,-2.27,34,-9,0.09,0.23,1.35,55,0.79,-0.27,-0.21,0.06,7.4,-5.13,True
1,1,123,0.25,-0.55,0.17,0.55,-0.05,7,19,0.39,0.52,2.05,11,1.81,2.29,0.06,0.19,0.7,NaN,False
1,0,213,-0.39,-0.83,-1.27,2.98,-1.52,23,-2,1.11,0,2.33,11,0.02,1.1,0.65,2.03,13.6,NaN,False
1,0,102,-1.15,0.95,1.49,1.81,-0.85,42,-7,1.33,-0.39,1.18,1,-0.61,1.53,-0.36,0.56,8.4,-0.49,False
1,0,54,1.03,0.94,0.23,3.51,-0.38,57,8,1.58,-0.08,0.01,-5,-0.95,-0.71,0.06,-0.55,14.5,NaN,False
0,0,219,-1.41,-0.29,-2.9,-1.32,-0.43,43,26,-1.84,0.08,0.35,-10,-0.9,-1.13,-0.82,-1.38,13.4,1.15,True
1,1,265,-0.17,1.39,2.08,0.11,0.7,28,-5,-0.13,0.96,1.65,32,-1.06,0.89,-0.3,-0.66,6.8,NaN,False
1,0,32,-2.16,-0.06,-0.11,3.07,-0.13,62,38,1.95,0.33,2.08,-9,-0.13,-1.09,-1.09,-0.17,14.1,0.25,False
1,1,58,0.89,-0.81,-0.21,2.15,-1.39,34,45,0.21,1.22,0.41,12,-1.07,-2.31,-0.56,0.2,8,-0.63,False
1,1,127,-0.18,-0.37,1.42,1.2,-0.97,3,-12,-1.78,-0.13,2,-6,1.32,0.34,-0.67,0.17,4.6,NaN,False
0,0,62,-1.39,0.91,0.76,2.26,1.89,61,0,1.62,-1.26,0.58,6,0.06,-2.99,-0.65,0.72,13,-0.65,True
1,1,20,-1.46,-1.5,-0.49,-0.91,-0.24,12,7,-2.05,0.29,2.78,12,-0.38,-0.01,0.6,0.85,6.5,NaN,True
